id,id_inf,id_res,id_content,title,year_ceremony,category,name,winner,Directed by,Based on,Starring,Distributed by,Budget,Budget (float) x Million,Box office,Box office (float) x million,IMDB,Metascore,Rotten Tomatoes
1,26,10359,,1917,2020,CINEMATOGRAPHY,Roger Deakins,TRUE,Sam Mendes,,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch']","['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",$95 million,95.00,$384.9 million,384.90,8.3,78,89
2,26,10368,,1917,2020,DIRECTING,Sam Mendes,FALSE,Sam Mendes,,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch']","['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",$95 million,95.00,$384.9 million,384.90,8.3,78,89
3,26,10395,,1917,2020,MAKEUP AND HAIRSTYLING,"Naomi Donne, Tristan Versluis and Rebecca Cole",FALSE,Sam Mendes,,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch']","['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",$95 million,95.00,$384.9 million,384.90,8.3,78,89
4,26,10399,,1917,2020,MUSIC (Original Score),Thomas Newman,FALSE,Sam Mendes,,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch']","['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",$95 million,95.00,$384.9 million,384.90,8.3,78,89
5,26,10412,,1917,2020,BEST PICTURE,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",FALSE,Sam Mendes,,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch']","['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",$95 million,95.00,$384.9 million,384.90,8.3,78,89
6,26,10417,,1917,2020,PRODUCTION DESIGN,Production Design: Dennis Gassner; Set Decoration: Lee Sandales,FALSE,Sam Mendes,,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch']","['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",$95 million,95.00,$384.9 million,384.90,8.3,78,89
7,26,10432,,1917,2020,SOUND EDITING,Oliver Tarney and Rachael Tate,FALSE,Sam Mendes,,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch']","['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",$95 million,95.00,$384.9 million,384.90,8.3,78,89
8,26,10438,,1917,2020,SOUND MIXING,Mark Taylor and Stuart Wilson,TRUE,Sam Mendes,,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch']","['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",$95 million,95.00,$384.9 million,384.90,8.3,78,89
9,26,10443,,1917,2020,VISUAL EFFECTS,"Guillaume Rocheron, Greg Butler and Dominic Tuohy",TRUE,Sam Mendes,,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch']","['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",$95 million,95.00,$384.9 million,384.90,8.3,78,89
10,26,10452,,1917,2020,WRITING (Original Screenplay),Written by Sam Mendes & Krysty Wilson-Cairns,FALSE,Sam Mendes,,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch']","['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",$95 million,95.00,$384.9 million,384.90,8.3,78,89
